city,city_lat,city_lng,population,tile_id,tile_lat,tile_lng,average_temperature,min_temperature,max_temperature,date
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,12.7492,6.0615,18.04,2024-04-04
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,11.9526,5.75,17.4906,2024-04-05
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,12.2835,4.4735,19.1633,2024-04-06
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,19.9982,12.76,25.7601,2024-04-08
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,16.1886,5.29,24.16,2024-04-07
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,18.5176,15.8,23.3999,2024-04-10
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,16.5416,15.0009,19.57,2024-04-09
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,15.7518,10.5698,20.81,2024-04-12
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,17.0717,12.86,24.2,2024-04-11
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,17.6192,7.66,25.31,2024-04-13
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,21.9839,10.9803,30.2603,2024-04-14
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,22.9727,14.42,30.03,2024-04-15
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,23.2972,15.74,30.44,2024-04-16
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,21.7961,19.33,27.11,2024-04-17
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,24.0331,15.87,31.58,2024-04-18
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,24.3743,19.74,29.01,2024-04-19
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,20.6638,18.72,27.06,2024-04-20
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,16.6129,6.6135,23.76,2024-04-23
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,13.3872,6.45,19.69,2024-04-22
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,20.7187,12.59,27.13,2024-04-25
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,18.7467,11.27,24.76,2024-04-24
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,21.6118,16.53,27.99,2024-04-26
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,20.3885,16.63,24.63,2024-04-27
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,21.4658,16.36,27.11,2024-04-28
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,21.393,15.01,25.93,2024-04-29
Atlanta,33.7627,-84.4224,5449398,71,33.76261238,-84.42220855,21.5026,18.81,25.8,2024-04-30
Washington,38.9047,-77.0163,5379184,88,38.90465604,-77.01605042,12.4044,10.9968,14.7166,2024-04-01
Washington,38.9047,-77.0163,5379184,88,38.90465604,-77.01605042,10.3681,9.2368,12.9235,2024-04-02
Washington,38.9047,-77.0163,5379184,88,38.90465604,-77.01605042,9.4964,8.2312,11.8317,2024-04-03
Washington,38.9047,-77.0163,5379184,88,38.90465604,-77.01605042,8.0848,4.0388,13.6789,2024-04-04
Washington,38.9047,-77.0163,5379184,88,38.90465604,-77.01605042,8.0577,4.5909,13.7917,2024-04-05
